Host,Port,Encrypted,Authenticated,Cluster_name,Name,Version,Total_nb_docs,Total_size_in_MB,Index,Index_nb_docs,Index_size_in_MB,Compliant,Value,Regex
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,auditbeat-7.8.0-2020.09.22-000001,271388,171,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,access-log-2020.09.29,14,6,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,access-log-2020.09.24-000001,1170,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.23,2534982,1230,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.24,1976142,936,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.25,1897226,1221,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.26,1816963,1195,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.27,1869426,1262,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.28,1936561,1305,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-service-2020.09.29,354894,286,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.29,1437,3,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.28,59877,30,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.24,2271,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.25,2324,1,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.26,2176,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.27,2193,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,access-log-2020.09.23-000003,7890398,4643,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.28,1465502,449,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.29,190391,78,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.26,1294276,394,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,access-log-2020.09.23-000001,623180,313,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.27,1291069,395,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,access-log-2020.09.23-000002,4542,2,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.23,2150,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.24,1347476,356,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.25,1411494,424,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,nonprod-service-2020.09.23,1200696,331,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.28,2292,1,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,prod-web-2020.09.29,54,0,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.23,94289,39,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.25,53456,27,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.24,54321,23,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.27,51534,26,True,,
15.165.85.18,9200,False,False,whatap-logs,node-1,7.9.1,29757658,15205,system-log-2020.09.26,51313,28,True,,
